case_id,domain,content_shape,platform,source_url,expected_access,expected_named_points,auth_passed,capture_completed,observed_access,named_points_captured,unsupported_source_claims,research_value_0_to_3,merge_outcome,source_reopens_exactly,search_query,search_top_3,usefulness_1_to_5,notes
TRV-01,travel,named_tips,instagram,,partial,,,,,,,,,,,,,
TRV-02,travel,logistics_or_rules,instagram,,partial,,,,,,,,,,,,,
TRV-03,travel,place_or_food_list,tiktok,,partial,,,,,,,,,,,,,
FIN-01,finance,glossary,instagram,,partial,,,,,,,,,,,,,
FIN-02,finance,high_stakes_explainer,instagram,,partial,,,,,,,,,,,,,
FIN-03,finance,investment_watchlist,tiktok,,partial,,,,,,,,,,,,,
FIN-04,finance,dated_correction,web,,partial,,,,,,,,,,,,,
AI-01,ai_work,ordered_how_to,instagram,,partial,,,,,,,,,,,,,
AI-02,ai_work,tools_list,tiktok,,partial,,,,,,,,,,,,,
AI-03,ai_work,current_opportunity,web,,partial,,,,,,,,,,,,,
FOOD-01,food,recipe_or_steps,tiktok,,partial,,,,,,,,,,,,,
FOOD-02,food,named_recommendations,instagram,,partial,,,,,,,,,,,,,
PROD-01,home,product_recommendations,instagram,,partial,,,,,,,,,,,,,
PROD-02,home,product_comparison,youtube,,partial,,,,,,,,,,,,,
CAREER-01,career,advice,instagram,,partial,,,,,,,,,,,,,
CAREER-02,career,workflow,web,,partial,,,,,,,,,,,,,
GENERAL-01,general,opinion_or_story,instagram,,partial,,,,,,,,,,,,,
REL-01,general,restricted_source,instagram,,link_only,,,,,,,,,,,,,
REL-02,general,duplicate_url,instagram,,partial,,,,,,,,,,,,,
REL-03,general,related_save_merge,instagram,,partial,,,,,,,,,,,,,
REL-04,general,contradictory_save,instagram,,partial,,,,,,,,,,,,,
REL-05,general,public_page_text,web,,partial,,,,,,,,,,,,,
MEDIA-01,general,small_screen_recording,local,,partial,,,,,,,,,,,,,
MEDIA-02,general,no_analyzable_speech,local,,unsupported,,,,,,,,,,,,,
